,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Attrition,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,DailyRate,MonthlyIncome
0,41,1,2,2,3,2,4,8,11,0,8,1,6,4,1,0,1,0,0,0,0,0,0,1,0,1,0.430635838150289,0.32242990654205606
1,49,8,1,3,2,4,2,1,23,1,10,3,10,7,0,0,1,0,0,0,0,0,1,0,1,0,-0.7586705202312138,0.11018199704869651
2,37,2,2,4,2,9,3,6,15,0,7,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.8222543352601156,-0.6374815543531727
3,33,3,4,4,3,4,3,1,11,0,8,3,8,7,0,0,1,0,0,0,0,0,1,0,0,1,0.8497109826589595,-0.43605509099852435
4,27,2,1,1,3,9,2,9,12,1,6,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.3078034682080925,-0.2985735366453517
5,32,2,2,4,3,9,4,0,13,0,8,2,7,7,0,0,1,0,0,0,0,0,0,1,1,0,0.2904624277456647,-0.39695031972454503
6,59,3,3,3,4,9,1,4,20,3,12,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.7514450867052023,-0.49483521888834237
7,30,24,1,4,3,9,3,1,22,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.8005780346820809,-0.4891785538612887
8,38,23,3,4,2,6,3,0,21,0,10,3,9,7,0,0,1,0,0,0,0,0,0,1,1,0,-0.8497109826589595,1.191342843089031
9,36,27,3,3,3,7,3,6,13,2,17,2,7,7,0,0,0,0,1,0,0,0,1,0,1,0,0.7153179190751445,0.13649778652238073
10,35,16,3,1,4,9,2,0,13,1,6,3,5,4,0,0,0,0,1,0,0,0,1,0,1,0,0.0072254335260115606,-0.5548450565666503
11,29,15,2,4,2,9,3,0,12,0,10,3,9,5,0,0,1,0,0,0,0,0,0,1,0,1,-0.9407514450867052,-0.12026561731431382
12,31,26,1,1,3,4,3,1,17,1,5,2,5,2,0,0,1,0,0,0,0,1,0,0,1,0,-0.1936416184971098,-0.4355632070831284
13,34,19,2,2,3,9,4,0,11,1,3,3,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0.7832369942196532,-0.4970486965076242
14,28,24,3,3,2,9,3,5,14,0,6,3,4,2,1,0,1,0,0,0,0,0,0,1,0,1,-1.0130057803468209,-0.6527299557304476
15,29,21,4,2,4,6,1,1,11,1,10,3,10,9,0,0,1,0,0,0,0,1,0,0,1,0,0.8453757225433526,1.3030004918839153
16,32,5,2,1,4,4,2,0,12,2,7,2,6,2,0,0,1,0,0,0,0,1,0,0,0,1,-0.6791907514450867,-0.34038366945400883
17,22,16,2,4,4,9,4,1,13,2,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.46098265895953755,-0.4296606000983768
18,53,2,4,1,2,1,4,2,16,0,31,3,25,8,0,0,1,0,0,0,0,0,1,0,1,0,0.5997109826589595,2.64264633546483
19,38,2,3,4,3,4,4,5,11,0,6,3,3,2,0,0,1,0,0,0,0,0,0,1,0,1,-0.6257225433526011,-0.18150516478111164
20,24,11,2,1,4,6,3,0,18,1,5,2,4,2,0,0,0,0,0,1,0,1,0,0,1,0,-0.1893063583815029,-0.16502705361534678
21,36,9,4,3,2,8,1,7,23,0,10,3,5,3,1,0,1,0,0,0,0,0,0,1,1,0,0.5982658959537572,-0.3135759960649287
22,34,7,4,1,3,3,2,0,11,0,13,3,12,6,0,0,1,0,0,0,0,0,0,1,1,0,-0.5563583815028902,1.7983275946876538
23,21,15,2,3,3,4,4,1,14,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.596820809248555,-0.8484997540580423
24,34,6,1,2,3,4,1,2,11,0,8,3,4,2,1,0,0,0,1,0,0,0,0,1,1,0,-0.15173410404624277,-0.4235120511559272
25,32,16,1,2,1,4,1,1,22,0,10,3,10,2,1,0,1,0,0,0,0,0,0,1,0,1,0.4638728323699422,-0.18765371372356124
26,42,8,4,3,3,2,2,0,11,1,10,3,9,7,0,0,0,1,0,0,0,0,1,0,1,0,-0.16329479768786126,0.5270536153467782
27,44,7,4,1,2,7,4,3,14,1,24,3,22,6,0,0,0,0,1,0,0,0,1,0,1,0,-0.4725433526011561,1.368912936546975
28,33,2,3,3,3,9,4,4,11,0,7,3,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0.17341040462427745,-0.5376291195277915
29,44,10,4,4,3,7,4,2,13,0,9,4,4,2,0,0,0,0,0,1,0,0,1,0,0,1,0.9465317919075145,0.43851451057550417
30,30,9,2,4,2,9,3,1,13,0,10,3,10,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.9812138728323699,-0.6089522872602066
31,39,5,3,4,3,8,4,3,14,1,19,4,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.1315028901734104,-0.6384653221839646
32,24,1,3,2,3,4,4,2,16,1,6,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0.01300578034682081,-0.587555336940482
33,43,2,2,4,4,4,3,1,12,2,6,2,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0.6777456647398844,-0.5009837678307919
34,50,3,2,1,2,8,3,1,14,0,3,3,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0.09393063583815028,-0.4916379734382686
35,35,2,3,4,3,8,4,1,13,0,2,3,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0.12427745664739884,-0.6561731431382194
36,36,5,4,2,2,4,1,9,14,1,6,4,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0.06936416184971098,-0.3106246925725529
37,33,1,3,3,4,2,1,2,19,2,10,3,5,3,0,0,1,0,0,0,0,0,1,0,1,0,0.4869942196531792,0.1706837186424004
38,35,4,2,3,3,9,4,1,12,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-0.4913294797687861,-0.6716674864731923
39,27,2,4,4,3,9,1,1,13,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.630057803468208,-0.5757501229709788
40,26,25,3,1,1,9,3,1,12,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.7991329479768786,-0.587555336940482
41,27,8,3,4,3,2,3,1,15,0,9,3,9,8,0,0,1,0,0,0,0,0,0,1,1,0,0.2745664739884393,0.9945892769306444
42,30,1,2,3,3,9,4,1,23,0,12,3,12,8,0,0,0,0,1,0,0,0,0,1,1,0,-0.1199421965317919,-0.16502705361534678
43,34,23,4,2,3,2,3,0,20,0,10,3,9,5,0,0,0,1,0,0,0,0,0,1,1,0,0.37716763005780346,-0.028037383177570093
44,37,19,2,2,3,4,2,4,21,0,8,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.5722543352601156,-0.40826364977865226
45,46,5,4,1,3,2,4,4,21,0,14,3,9,6,0,0,0,1,0,0,0,0,0,1,0,1,0.588150289017341,0.2680767338908018
